metric,mean,std,n
accuracy,0.6449275362318841,0.017571529931858204,3
macro_f1,0.6389130544880134,0.020923597840424527,3
positive_precision,0.6737502218716834,0.029998016378502218,3
positive_recall,0.5768115942028985,0.14968987053536645,3
positive_f1,0.6124738226834732,0.06865984517130723,3
prevalence,0.5,0.0,3
roc_auc,0.6857466918714555,0.0073064766160592974,3
pr_auc,0.6473700621697417,0.008774132327096682,3
bin_roc_auc,0.6283876029427246,0.010716733359533381,3
bin_pr_auc,0.654603817255837,0.010925877767902525,3
